rent,bed,bath,school,elemenatary_school,middle_school,high_school,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,area_Allston,area_Back Bay/ Beacon Hill,area_Central,area_Charlestown,area_Dorchester,area_East Boston,area_Fenway,area_Hyde Park,area_Jamaica Plain,area_Mattapan,area_Mission Hill,area_Roslindale,area_Roxbury,area_South Boston,area_South End,area_West Roxbury,property_type_apartment,property_type_condo,property_type_multifamily,property_type_singlefamily,property_type_townhouse,crime_High,crime_Highest,crime_Low,crime_Lowest,crime_Moderate,area
3300,4.0,1.0,26,8,9,9,56,0,0,0,0,0,0,0,0,0,309,41,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Allston
4650,4.0,2.0,26,8,9,9,31,1,0,0,0,0,0,1,1,0,309,41,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Allston
3200,4.0,1.0,26,8,9,9,31,0,0,0,0,0,0,0,0,0,309,41,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Allston
2499,3.0,1.0,23,7,8,8,31,3,1,0,1,0,0,1,1,1,313,34,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Allston
2275,2.0,1.0,25,7,9,9,31,0,0,0,0,0,0,0,0,0,314,41,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Allston
3100,4.0,1.0,20,6,7,7,31,3,1,0,0,1,1,0,0,1,303,39,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Allston
3600,4.0,1.0,21,7,7,7,31,1,0,0,1,0,0,0,0,0,311,41,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Allston
2550,3.0,1.0,12,4,4,4,31,1,0,0,1,0,0,0,0,1,276,34,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Allston
2260,2.0,1.0,23,7,8,8,31,4,1,0,1,1,1,0,0,0,327,40,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Allston
2200,2.0,1.0,17,5,6,6,31,1,0,0,0,0,0,1,1,0,318,41,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Allston
2195,2.0,1.0,21,7,7,7,31,0,0,0,0,0,0,0,0,0,316,41,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Allston
2750,3.0,1.0,17,5,6,6,31,3,1,0,0,1,1,0,1,1,318,41,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Allston
2400,2.0,1.0,25,7,9,9,31,3,1,0,0,1,1,0,0,0,301,38,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Allston
3400,4.0,1.0,20,6,7,7,31,1,0,0,0,0,0,1,0,0,323,42,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Allston
3100,4.0,2.0,18,6,6,6,31,1,1,0,0,0,0,0,1,1,306,41,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Allston
2225,2.0,1.0,20,6,7,7,31,0,0,0,0,0,0,0,0,0,311,41,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Allston
