rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife
3600,East Boston,multifamily,4.0,2.0,11,7,4,0,Low,41,5,1,0,1,1,1,1,0,1,225,32,69
2500,East Boston,multifamily,2.0,1.0,6,4,2,0,High,41,5,1,0,1,1,1,1,0,1,439,59,178
2675,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,5,1,0,1,1,1,1,1,0,248,42,70
2600,East Boston,multifamily,2.0,1.0,11,7,4,0,Low,41,1,0,0,0,0,0,1,1,1,225,32,69
2600,East Boston,multifamily,2.0,1.0,10,6,4,0,Moderate,41,5,1,0,1,1,1,1,0,1,406,64,163
2600,East Boston,multifamily,2.0,1.0,12,6,3,3,Low,41,3,1,0,0,1,1,0,0,0,205,39,56
3150,East Boston,multifamily,4.0,2.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,1,0,203,33,57
2750,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,3,1,0,0,1,1,0,1,1,215,33,59
3250,East Boston,multifamily,4.0,1.0,8,4,2,2,Lowest,41,0,0,0,0,0,0,0,1,0,65,7,11
2500,East Boston,multifamily,2.0,1.0,10,6,4,0,Moderate,41,5,1,0,1,1,1,1,1,1,406,64,163
2500,East Boston,multifamily,2.0,1.0,11,5,3,3,Low,41,0,0,0,0,0,0,0,0,0,444,59,179
2500,East Boston,multifamily,2.0,1.0,6,4,2,0,High,41,5,1,0,1,1,1,1,0,1,465,63,193
2700,East Boston,multifamily,3.0,1.0,7,5,2,0,High,41,4,1,1,0,1,1,0,1,1,409,58,166
2700,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,5,1,0,1,1,1,1,1,0,248,42,70
5000,East Boston,multifamily,5.0,3.0,15,7,4,4,High,41,4,1,0,1,1,1,0,1,1,303,46,94
3300,East Boston,multifamily,3.0,2.0,9,5,2,2,Low,41,2,0,0,1,0,0,1,1,1,167,43,32
3350,East Boston,multifamily,3.0,2.0,6,4,2,0,High,41,5,1,0,1,1,1,1,0,1,383,58,153
4800,East Boston,multifamily,5.0,2.0,10,4,3,3,Low,41,0,0,0,0,0,0,0,1,0,501,64,203
3500,East Boston,multifamily,3.0,2.0,7,5,2,0,Low,41,4,1,0,1,1,1,0,1,0,472,62,194
3695,East Boston,multifamily,3.0,2.0,12,6,3,3,High,41,5,1,0,1,1,1,1,1,0,248,42,70
3675,East Boston,multifamily,3.0,2.0,12,6,3,3,High,41,5,1,0,1,1,1,1,1,0,248,42,70
2400,East Boston,multifamily,2.0,1.0,6,4,2,0,High,41,1,1,0,0,0,0,0,1,0,409,58,166
2000,East Boston,multifamily,1.0,1.0,9,5,2,2,Moderate,41,0,0,0,0,0,0,0,0,0,199,37,53
3800,East Boston,multifamily,3.0,2.0,10,4,3,3,Low,41,0,0,0,0,0,0,0,1,0,501,64,203
2000,East Boston,multifamily,1.0,1.0,12,6,3,3,Low,41,3,1,0,0,1,1,0,1,0,201,34,57
2800,East Boston,multifamily,2.0,1.0,6,4,2,0,High,41,0,0,0,0,0,0,0,1,0,511,66,210
2800,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,0,0,0,0,0,0,0,1,0,248,42,70
3499,East Boston,multifamily,2.0,1.0,5,3,2,0,Lowest,41,3,1,0,0,1,1,0,0,0,587,71,233
3550,East Boston,apartment,2.0,2.0,6,2,2,2,Lowest,41,5,1,0,1,1,1,1,1,1,535,73,216
3595,East Boston,multifamily,3.0,2.0,12,6,3,3,High,41,5,1,0,1,1,1,1,1,0,248,42,70
3600,East Boston,multifamily,3.0,2.0,10,4,3,3,Low,41,0,0,0,0,0,0,0,0,0,501,64,203
2200,East Boston,multifamily,1.0,1.0,5,3,0,2,Low,41,5,1,0,1,1,1,1,0,0,213,38,57
4050,East Boston,multifamily,6.0,2.0,12,6,3,3,High,41,5,1,0,1,1,1,1,0,0,258,43,73
2775,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,0,0,0,0,0,0,0,1,0,248,42,70
2800,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,3,1,0,0,1,1,0,1,1,248,42,70
3200,East Boston,multifamily,3.0,2.0,12,6,3,3,Moderate,41,5,1,0,1,1,1,1,0,0,248,42,70
2400,East Boston,multifamily,2.0,2.0,12,8,4,0,Low,41,0,0,0,0,0,0,0,0,0,285,38,99
4500,East Boston,multifamily,5.0,3.0,12,6,3,3,Low,41,4,1,0,1,1,1,0,1,1,201,34,54
2295,East Boston,multifamily,1.0,1.0,12,6,3,3,Low,41,6,1,1,1,1,1,1,0,1,223,36,61
3795,East Boston,multifamily,3.0,2.0,12,6,3,3,High,41,3,1,0,0,1,1,0,1,1,248,42,70
3875,East Boston,multifamily,3.0,2.0,12,6,3,3,High,41,3,1,0,0,1,1,0,1,1,248,42,70
3100,East Boston,multifamily,3.0,2.0,9,5,2,2,Moderate,41,5,1,0,1,1,1,1,1,0,167,43,32
1500,Charlestown,multifamily,1.0,1.0,5,1,2,2,Lowest,56,0,0,0,0,0,0,0,0,0,297,44,99
2200,Charlestown,multifamily,2.0,1.0,5,1,2,2,Lowest,56,6,1,1,1,1,1,1,1,0,270,43,91
3000,Charlestown,multifamily,3.0,1.0,8,2,3,3,Moderate,56,3,1,0,0,1,1,0,0,0,426,64,146
3075,Charlestown,multifamily,3.0,1.0,8,2,3,3,Moderate,56,3,1,0,1,0,0,1,1,0,426,64,146
2100,Charlestown,multifamily,1.0,1.0,6,2,2,2,Lowest,56,0,0,0,0,0,0,0,1,0,361,64,123
4246,Charlestown,apartment,3.0,2.0,6,2,2,2,Lowest,56,5,1,1,1,1,1,0,1,1,225,46,68
3500,Charlestown,multifamily,3.0,2.0,6,2,2,2,Lowest,56,2,0,0,1,0,0,1,1,1,281,37,97
4200,Charlestown,multifamily,4.0,2.0,6,2,2,2,Lowest,56,2,0,0,1,0,0,1,1,1,225,46,68
2500,Charlestown,multifamily,1.0,1.0,6,2,2,2,Lowest,56,0,0,0,0,0,0,0,0,0,281,37,97
4600,Charlestown,multifamily,4.0,2.0,6,2,2,2,Lowest,56,5,1,0,1,1,1,1,0,0,225,46,68
3142,Charlestown,apartment,2.0,2.0,5,1,2,2,Lowest,56,6,1,1,1,1,1,1,1,1,270,38,99
2600,Charlestown,multifamily,1.0,1.0,6,2,2,2,Lowest,56,5,1,0,1,1,1,1,1,1,543,76,190
3350,Charlestown,multifamily,1.0,1.0,3,1,1,1,Lowest,56,0,0,0,0,0,0,0,0,0,408,67,148
3735,Charlestown,multifamily,2.0,2.0,5,1,2,2,Lowest,28,0,0,0,0,0,0,0,1,0,270,38,99
5750,Charlestown,multifamily,7.0,2.5,6,2,2,2,Lowest,56,0,0,0,0,0,0,0,1,0,506,76,183
2225,Charlestown,apartment,1.0,1.0,3,1,1,1,Lowest,56,4,1,1,1,0,0,1,1,1,416,67,148
